epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2074,0.75539,2.88073,1.06918,0.01187,0.99351,0.87406,0.70985,0.44828,3.09324,0.93954,0.00010002,0.00010002,0.00010002
2,123.873,0.63845,1.81928,1.00594,0.96283,0.16824,0.92996,0.79012,0.43935,2.68409,0.9201,0.000209559,0.000209559,0.000209559
3,200.865,0.67586,1.23581,1.06073,0.98896,0.58193,0.92109,0.779,0.53493,2.54908,0.9817,0.000311396,0.000311396,0.000311396
4,286.438,0.53241,1.06313,0.97268,0.96755,0.77441,0.92391,0.77996,0.51643,2.15376,0.98389,0.000405531,0.000405531,0.000405531
5,376.365,0.64378,1.49486,1.08011,0.92478,0.87816,0.94446,0.77943,0.67546,1.96486,1.0315,0.000491965,0.000491965,0.000491965
6,462.182,0.59072,1.14548,1.03288,0.92845,0.74026,0.90489,0.77423,0.64174,1.79044,1.10152,0.000570697,0.000570697,0.000570697
7,549.575,0.57655,1.7796,1.05165,0.58592,0.63636,0.61607,0.37471,1.07067,2.41444,1.78711,0.000641728,0.000641728,0.000641728
8,638.116,0.70083,1.07525,1.11791,0.78601,0.66234,0.76167,0.58737,0.86421,2.06152,1.32767,0.000705058,0.000705058,0.000705058
9,723.635,0.72792,1.23601,1.08356,0.81135,0.62987,0.70971,0.53031,1.02705,2.27871,1.55834,0.000760685,0.000760685,0.000760685
10,809.256,0.65237,0.96468,1.06538,0.82266,0.57235,0.7242,0.55147,1.0391,2.22367,1.51665,0.000808612,0.000808612,0.000808612
11,886.589,0.62862,0.96459,1.04385,0.91237,0.69481,0.84017,0.68212,0.9457,1.94983,1.33111,0.000848836,0.000848836,0.000848836
12,964.57,0.61462,0.88764,1.01566,0.87373,0.80882,0.88744,0.69075,1.11261,1.94774,1.61568,0.00088136,0.00088136,0.00088136
13,1042.51,0.66399,1.05316,0.99564,0.91491,0.80519,0.90014,0.73464,1.00265,1.7433,1.5038,0.000906181,0.000906181,0.000906181
14,1118.54,0.5754,0.82036,0.97826,0.90263,0.84416,0.92963,0.79641,0.77741,1.22958,1.24448,0.000923301,0.000923301,0.000923301
15,1195.23,0.56769,0.83437,1.01783,0.91691,0.93152,0.96999,0.81021,0.81996,1.2134,1.25028,0.000896846,0.000896846,0.000896846
16,1271.3,0.5949,0.77154,0.97764,0.92233,0.97403,0.98091,0.83354,0.81875,1.19218,1.22683,0.000841835,0.000841835,0.000841835
17,1347.13,0.57583,0.90129,0.96911,0.94445,0.96104,0.98393,0.83147,0.84319,1.16963,1.23973,0.000786824,0.000786824,0.000786824
18,1421.89,0.6647,0.81095,1.02693,0.94187,0.98701,0.98896,0.87609,0.76963,1.05991,1.14505,0.000731813,0.000731813,0.000731813
19,1496.15,0.83489,1.35372,1.27701,0.97441,0.98919,0.99388,0.89365,0.67166,0.99911,1.05742,0.000676802,0.000676802,0.000676802
20,1579.76,0.64559,0.82231,1.0237,0.98707,0.9912,0.99435,0.86456,0.75157,1.0188,1.11794,0.000621791,0.000621791,0.000621791
21,1661.22,0.66533,1.77427,1.08369,0.98712,1,0.99487,0.88241,0.69806,1.02823,1.07169,0.00056678,0.00056678,0.00056678
22,1747.6,0.59119,1.70454,0.95721,0.97365,0.9599,0.98339,0.84914,0.64434,1.30098,1.04887,0.000511769,0.000511769,0.000511769
23,1830.22,0.44067,0.99422,0.90473,0.96563,0.94805,0.96752,0.8647,0.53536,1.45488,0.98349,0.000456758,0.000456758,0.000456758
24,1914.76,0.6189,1.25007,1.14098,0.98182,0.96753,0.99215,0.878,0.57423,1.17478,1.00596,0.000401747,0.000401747,0.000401747
25,1985.62,0.46772,0.94074,0.92316,0.98181,0.99351,0.99367,0.89087,0.55699,1.10964,0.9826,0.000346736,0.000346736,0.000346736
26,2056.97,0.57523,1.24143,0.9343,0.99344,0.99351,0.99481,0.91665,0.53918,1.03059,0.97932,0.000291725,0.000291725,0.000291725
27,2128.44,0.5164,0.95984,0.89751,0.99006,0.99351,0.99494,0.92626,0.5791,1.0511,1.01212,0.000236714,0.000236714,0.000236714
28,2209.19,0.44796,1.05406,0.92801,0.99355,0.99989,0.995,0.93151,0.53771,1.07228,0.97713,0.000181703,0.000181703,0.000181703
29,2282.35,0.41009,0.86875,0.89638,0.99272,1,0.995,0.92927,0.50979,1.0494,0.94802,0.000126692,0.000126692,0.000126692
30,2354.68,0.39209,0.82606,0.86897,1,0.99938,0.995,0.92825,0.46108,1.00362,0.9184,7.1681e-05,7.1681e-05,7.1681e-05
